applicant_id,name,address,income,credit_score,debt_to_income,employment_years,loan_amount,existing_defaults,actual_outcome
86,Emma Tanaka,"942 Highland Ln, Clinton, CO 23579",$182353.86,681,0.53,16.7,27042.03,0,repaid
151,Wei Garcia,"7041 River Ct, Fairview, OR 17897",154553.54,773,0.02,9.2,1238.22,0,repaid
440,  HANA GARCIA,"9869 Cedar Ct, Greenville, AZ 21537",158471.67,787,0.58,6.2,33550.47,0,repaid
178,Sofia Silva,"6261 Highland Way, Franklin, CO 24927",212914.92,481,0.26,29.1,39789.58,0,repaid
376,Alex Tanaka,"2478 Birch Ln, Riverside, CO 18888",136206.14,441,0.18,20.5,55394.04,0,repaid
234,Grace Martin,"6304 River Ln, Franklin, NY 72847",71331.59,658,0.0,3.2,58874.18,0,repaid
389,Hana Okafor,"5524 Oak St, Fairview, GA 33363",29783.76,512,0.59,4.4,68452.51,0,repaid
433,Omar Rossi,"2392 Maple Ave, Springfield, AZ 41258",79774.07,495 ,0.1,11.7,39433.78,0,repaid
143,Priya Tanaka,"2980 Maple Way, Franklin, MA 34420",201587.39,360,,2.7,58126.3,0,repaid
175,Kenji Patel,"2374 Highland Blvd, Clinton, MA 29127",175833.82,697,0.5,21.7,20176.66,2,repaid
228,Samuel Johnson,"9325 Sunset Way, Greenville, OR 50508",181242.05,625,0.82,200.0,56344.3,0,repaid
310,Hana Haddad,"405 Meadow Ct, Clinton, NY 38389",27838.17,824,0.05,17.2,15222.97,0,repaid
312,Grace Johnson,"1677 Cedar Dr, Arlington, AZ 15116",65962.76,370,0.1,11.6,68907.74,0,repaid
381,Samuel Novak,"8884 Lakeview Ct, Springfield, OR 24328",,714,0.74,18.2,32137.91,0,repaid
4,Sofia Kim,"6327 Highland Dr, Madison, TX 58520",135470.43,670,0.04,21.1,23861.65,0,repaid
156,Sofia Okafor,"2447 Birch Ln, Georgetown, GA 49387",66832.3,596,0.52,27.5,62030.52,0,repaid
319,Hana Ivanov,"4793 Meadow Ln, Springfield, TX 93924",32816.09,390,0.07,6.7,31361.75,0,repaid
209,Priya Kim,"307 Meadow Ave, Springfield, TX 75065",37242.56,550,0.41,13.0,25433.92,0,repaid
153,sofia nguyen,"472 Highland Dr, Salem, GA 79721",150706.82,436,0.16,10.4,42778.56,0,repaid
114,Nina Martin,"4250 Maple Way, Georgetown, IL 56789",28761.26,506,0.04,6.0,41715.3,1,repaid
18,Samuel Martin,"8338 Ridge Ln, Riverside, CA 76562",79341.57,494 ,,29.1,60090.07,0,repaid
17,Noah Kowalski,"4773 Pine Ct, Salem, MA 30289",117128.23,716,0.36,6.4,30938.88,0,repaid
139,Diego Martin,"5814 Lakeview Way, Clinton, IL 25974",64973.41,605,0.27,29.2,17374.95,0,repaid
466,  SAMUEL BROWN,"1549 Maple Dr, Clinton, GA 32923",48727.86,388,0.89,9.1,27497.92,0,repaid
133,Alex Rossi,"9970 Lakeview Dr, Salem, CA 15938",45732.68,421,0.34,2.9,45068.72,2,defaulted
322,Liam Kowalski,"6718 Elm St, Clinton, TX 63363",165227.74,591,0.52,16.8,-65425.68,0,repaid
250,Sofia Rossi,"4508 Birch Dr, Salem, CA 99417",25490.1,591,0.77,1.5,17931.17,0,defaulted
243,Samuel Ivanov,"6974 Oak Dr, Riverside, TX 84264",130410.84,706,0.47,25.7,1976.74,1,repaid
239,Noah Haddad,"1109 Cedar Way, Fairview, NY 97574",94204.1,489,0.17,11.4,35739.49,0,repaid
303,Samuel Okafor,"2293 Willow Ln, Salem, NY 62007",128693.86,566,0.42,30.0,29899.67,0,repaid
273,Hana Garcia,"290 Birch Ave, Salem, MA 74990",116385.94,554,0.58,19.9,66288.59,0,repaid
337,Kenji Kim,"1665 Oak Dr, Salem, CA 13455",45007.98,323,0.23,7.0,60229.44,0,repaid
170,Sofia Haddad,"6475 Birch Ln, Madison, GA 28343",137407.22,512 ,0.64,22.6,7078.06,0,repaid
278,Kenji Rossi,"7588 Ridge Way, Georgetown, CO 24125",48089.84,804,0.65,21.5,49257.29,0,repaid
361,Noah Lopez,"8476 Lakeview Ln, Arlington, TX 22358",47017.14,830,0.01,26.7,17971.0,2,repaid
125,Wei Chen,"3316 Birch Ln, Clinton, TX 91922",52393.39,468,0.2,28.0,41992.93,1,repaid
416,  SAMUEL MARTIN,"1411 Cedar Ct, Salem, IL 70940",205312.89,720,0.03,17.3,39178.18,0,repaid
329,James Nguyen,"3552 Pine Ln, Fairview, CO 57395",192080.03,703,0.41,200.0,-41938.21,0,repaid
497,Priya Chen,"9950 Sunset Dr, Georgetown, NY 29655",83730.64,,0.06,24.9,33582.63,0,repaid
496,Liam Andersson,"7677 Cedar Ave, Riverside, IL 67067",181786.7,845,,25.6,58402.59,1,repaid
59,Diego Chen,"5396 Oak Way, Franklin, OR 10150",158734.73,721,0.85,8.6,44457.63,0,repaid
57,Noah Haddad,"759 Harbor Way, Riverside, MA 78021",65784.88,393,0.77,20.2,2638.89,0,repaid
334,Nina Patel,"4763 River Blvd, Salem, MA 68580",102352.18,320,0.61,10.5,46571.45,0,repaid
267,Lucas Smith,"1759 Highland Ct, Georgetown, MA 48800",154326.63,313,0.75,27.2,12782.41,0,defaulted
2,Noah Nguyen,"2715 Meadow Dr, Madison, IL 30379",140403.75,817,0.64,16.8,-34142.07,0,repaid
348,Maria Rossi,"1950 Sunset Ct, Franklin, CO 11974",168944.92,343,0.11,16.5,24606.23,0,repaid
51,Ava Kim,"1170 Pine Dr, Fairview, AZ 92502",134812.84,312,0.4,14.1,5058.76,0,repaid
1,Wei Haddad,"7012 Maple St, Fairview, WA 40495",25002.15,414,0.2,8.3,54459.26,0,repaid
266,Nina Martin,"3502 Meadow Dr, Madison, WA 10358",175591.78,504,0.88,24.9,33370.74,0,defaulted
225,kenji andersson,"7959 Lakeview Way, Greenville, CO 84141",148530.51,504,0.22,23.9,43948.88,2,defaulted
56,Hana Garcia,"7178 Meadow Blvd, Arlington, IL 13390",113739.59,427,0.36,9.1,43658.54,0,repaid
280,Alex Kim,"6447 Birch Ln, Arlington, CO 76074",187763.22,,0.46,14.5,14998.99,1,repaid
294,Kenji Kowalski,"6726 Pine Blvd, Springfield, GA 98250",30853.61,375,0.5,23.8,18984.01,0,repaid
188,Wei Johnson,"5231 Oak Ave, Clinton, NY 33992",189103.56,660,0.73,18.5,24498.14,0,repaid
218,Sofia Smith,"3421 Cedar Way, Arlington, NY 30369",190182.74,567,0.35,27.8,26773.87,0,repaid
326,Sofia Chen,"3487 Sunset Ave, Georgetown, AZ 56665",56556.89,575,0.84,22.4,59231.87,0,repaid
96,Samuel Kowalski,"9348 Birch Ct, Arlington, CO 92210",172043.06,456,0.16,19.7,40035.24,0,repaid
276,Sofia Kowalski,"5539 Lakeview Way, Arlington, AZ 72014",198022.18,611,0.59,16.9,27927.48,0,repaid
370,Ava Novak,"2415 Meadow Ct, Springfield, GA 86415",$24549.62,782,0.48,6.3,42338.0,0,repaid
275,Grace Garcia,"9228 Lakeview St, Fairview, AZ 91142",191317.84,390,0.11,13.4,52616.47,0,repaid
391,Noah Silva,"8735 Pine Ln, Georgetown, WA 90223",184052.95,688,0.76,200.0,38194.53,0,repaid
390,Omar Haddad,"6001 Maple St, Clinton, CO 58309",154418.1,465,0.62,18.3,63197.3,0,repaid
404,Samuel Kowalski,,200658.48,782,0.35,1.5,31961.42,0,repaid
116,Diego Kim,"1411 River Ct, Clinton, IL 68447",180229.62,573,0.07,21.8,65964.96,0,repaid
117,Grace Chen,"1039 Oak Ct, Franklin, CO 77251",53328.95,736,0.4,13.3,73016.97,0,repaid
81,Alex Tanaka,"8719 Oak Ct, Fairview, MA 68756",46360.65,326,0.71,10.7,2246.71,0,repaid
230,Wei Andersson,"6581 Elm St, Madison, IL 52284",49542.4,322,0.13,21.1,42577.3,0,repaid
107,Sofia Kowalski,"5827 Maple Dr, Springfield, GA 75799",172623.37,385,0.81,8.2,35560.33,0,repaid
177,Hana Johnson,"5022 River Ln, Georgetown, MA 51180",86443.44,705,0.72,18.6,27444.16,0,repaid
159,Nina Rossi,,97683.81,437,0.3,7.6,36533.16,0,repaid
101,Alex Andersson,"5182 Birch Ct, Franklin, TX 87993",164746.73,558,0.82,19.7,27335.6,1,repaid
47,sofia martin,"8141 Willow Way, Springfield, NY 48566",131158.21,582,0.17,15.5,33107.82,0,repaid
269,Diego Patel,"1965 Pine Dr, Greenville, IL 60556",85732.17,474,0.86,26.8,58912.37,0,repaid
152,Grace Andersson,"6366 Willow Way, Franklin, GA 20518",217227.45,370,0.26,14.2,11698.88,0,repaid
30,Aisha Ivanov,"5167 Birch Dr, Madison, GA 48752",92844.29,501,0.6,2.1,25799.34,0,repaid
5,  SOFIA PATEL,"7673 Pine Blvd, Salem, WA 99733",61901.41,663,0.84,8.0,49121.35,0,repaid
129,Alex Kim,"929 Highland Dr, Arlington, GA 42541",172133.0,433,0.1,15.4,10679.23,0,repaid
173,Aisha Kowalski,"5996 Harbor Blvd, Fairview, TX 21442",162335.43,689,0.67,19.0,9417.52,0,defaulted
247,Maria Ivanov,"2704 Oak Blvd, Salem, GA 27779",57587.14,391,0.74,6.3,60999.97,0,repaid
91,Kenji Novak,"997 Maple Ave, Clinton, WA 27987",105982.73,653,0.61,8.5,53703.47,0,repaid
65,Omar Kim,"8717 Willow St, Riverside, GA 95823",119065.73,455,0.45,1.1,69706.32,0,repaid
349,Ava Novak,"2639 River Way, Fairview, WA 30669",178878.08,471,0.36,17.5,77537.96,0,repaid
446,Aisha Novak,"2668 Harbor Way, Arlington, TX 85775",76120.83,361,0.42,3.3,61066.83,0,defaulted
418,Aisha Okafor,"2844 Maple Ct, Arlington, IL 83886",113773.76,311,0.42,15.4,34260.27,0,repaid
426,Liam Novak,"2095 Meadow St, Fairview, AZ 27027",70379.22,590,0.56,1.0,47936.95,0,repaid
494,Grace Lopez,"5233 Sunset Dr, Franklin, IL 91915",115053.67,843,,6.3,24845.91,0,repaid
131,ava okafor,"8893 Maple Way, Fairview, GA 27555",213337.33,,0.32,6.5,40096.64,0,repaid
320,Hana Ivanov,"8551 Meadow Ave, Arlington, TX 98345",107794.41,806,0.59,6.1,23594.51,0,repaid
255,Lucas Okafor,"2885 Ridge Ct, Salem, TX 48506",165309.98,651 ,0.48,6.7,72615.59,0,repaid
476,Fatima Novak,"3465 Elm Ave, Riverside, CO 13835",113816.47,360,0.04,27.3,1811.52,0,repaid
20,Aisha Kowalski,"5280 Harbor St, Springfield, MA 91416",83273.97,835,0.6,7.8,21983.55,0,repaid
142,Ava Martin,"3367 Harbor Blvd, Madison, IL 94659",156238.4,402,0.87,4.1,13477.35,2,repaid
13,Wei Garcia,"5513 Oak Ln, Georgetown, IL 97684",24206.85,646,0.53,16.6,56919.43,0,repaid
279,Samuel Ivanov,"2305 Willow St, Salem, CA 82512",29300.07,724,0.6,19.0,71448.59,0,repaid
301,Aisha Martin,"9138 Oak Ave, Arlington, NY 46780",75335.97,746,0.61,10.8,38916.36,0,repaid
201,Alex Martin,"1260 Sunset Dr, Fairview, NY 23526",123888.85,531,0.01,13.4,10526.91,0,repaid
315,Lucas Kim,"8615 Maple Dr, Georgetown, CO 63588",139658.47,590,0.23,16.3,59748.01,0,defaulted
300,Diego Tanaka,"2862 Maple Blvd, Georgetown, WA 93995",,797,0.28,18.5,45678.61,0,repaid
216,Maria Johnson,"4684 Oak St, Georgetown, OR 64140",189801.2,910,0.09,21.8,19815.24,0,repaid
33,Wei Kowalski,"6890 Birch Ln, Georgetown, GA 74799",154559.13,540,0.18,6.7,20342.56,0,repaid
39,Priya Kowalski,"2191 Elm Ln, Springfield, GA 87580",117645.9,525,0.44,8.2,53841.02,0,repaid
425,James Tanaka,"1700 Lakeview St, Greenville, CO 38759",87481.32,832,0.16,20.7,54151.35,0,repaid
123,Wei Johnson,,81858.14,367,0.65,30.0,61764.0,0,repaid
309,James Müller,"806 Cedar Ln, Arlington, TX 27658",164051.13,910,0.43,14.4,13738.45,0,repaid
367,Noah Tanaka,"5398 Birch Ln, Fairview, NY 98047",99063.76,799,,17.1,42415.57,2,repaid
120,Ava Rossi,"2109 Cedar Way, Fairview, MA 32630",202708.5,696,0.7,3.5,17951.06,0,repaid
414,Ava Tanaka,"2324 Oak Ave, Franklin, MA 89223",,595,0.12,20.1,2240.92,0,repaid
464,Alex Tanaka,"6156 Pine Blvd, Springfield, IL 55209",58890.01,703,,9.5,72767.31,1,repaid
181,Sofia Andersson,"2825 Birch Ln, Springfield, AZ 94545",178144.18,910,0.81,10.8,51416.25,0,defaulted
186,Liam Rossi,,99116.48,742,,22.1,34934.67,0,defaulted
195,Alex Müller,"2496 Meadow Blvd, Georgetown, GA 74154",47117.78,397,0.37,22.5,22908.56,0,repaid
335,Diego Tanaka,"9465 Pine Way, Fairview, NY 31233",96214.2,380,0.57,8.6,14238.47,0,repaid
284,Aisha Rossi,"8966 Maple Blvd, Greenville, NY 90754",59980.48,357,0.14,22.5,20794.32,0,repaid
229,Hana Rossi,"2237 River Ct, Riverside, CO 17806",118087.28,479,0.21,2.7,42589.43,0,defaulted
374,Nina Chen,"3795 Cedar Blvd, Franklin, TX 21507",75175.66,910,0.23,1.9,79996.19,0,repaid
458,Noah Müller,"8033 River Blvd, Springfield, TX 56284",188381.57,842,0.27,13.4,63358.51,0,repaid
263,Maria Brown,"4290 Harbor Ln, Arlington, CA 87846",165433.77,529,0.66,3.9,14349.79,0,repaid
302,Lucas Nguyen,"9633 Elm Dr, Arlington, WA 14804",198259.41,,0.66,5.9,58466.6,0,repaid
353,Emma Novak,"4012 River Ct, Fairview, OR 60789",110815.8,675,0.46,23.3,70751.66,0,repaid
119,Noah Müller,"1958 Maple Ct, Riverside, MA 77861",209764.71,760,0.69,11.2,42827.33,0,repaid
452,Maria Kim,"6374 River Dr, Arlington, CA 57916",144091.04,382,0.84,10.1,72890.33,0,repaid
212,Kenji Johnson,"3032 Ridge St, Salem, GA 39427",65680.88,418,0.04,15.3,20319.56,1,repaid
477,Hana Müller,"8372 Elm St, Fairview, AZ 11832",49111.4,392,0.25,22.4,28824.06,0,repaid
277,Aisha Lopez,"8652 River Ct, Fairview, CA 31516",163182.7,672,0.68,3.4,27967.21,0,repaid
110,Hana Lopez,"369 Birch Ln, Arlington, WA 28818",29549.89,,0.71,12.6,9757.77,0,repaid
328,Maria Ivanov,,118161.07,581,0.82,29.5,18545.33,0,repaid
112,Wei Andersson,"4050 Meadow Ct, Fairview, AZ 53583",,699,0.35,1.3,60038.01,0,repaid
359,Diego Lopez,,129993.09,,0.59,15.1,48393.34,0,repaid
158,Alex Kowalski,"1044 Lakeview Dr, Franklin, OR 79467",101651.84,726,,9.0,20036.49,0,repaid
487,Alex Okafor,"6474 Willow Way, Fairview, AZ 98476",26571.96,336,0.77,16.7,56778.68,0,repaid
365,Hana Haddad,"8369 Oak Ave, Franklin, IL 61684",85366.33,453,0.14,20.9,79792.02,0,repaid
482,Priya Smith,,151709.65,835,0.13,2.6,47654.02,0,repaid
426,Liam Novak,"2095 Meadow St, Fairview, AZ 27027",70379.22,590,0.56,1.0,47936.95,0,repaid
260,Emma Nguyen,"5379 Harbor Way, Salem, WA 12348",146697.51,910,0.87,12.1,3980.3,0,repaid
154,Fatima Garcia,"6968 Elm Way, Springfield, WA 37011",184672.09,688,0.31,7.4,75055.42,0,repaid
445,Liam Andersson,"4518 Sunset Blvd, Riverside, CA 84536",198097.77,355,0.84,4.3,31599.09,0,defaulted
398,Noah Tanaka,"1522 Willow Ave, Madison, MA 49666",57475.78,698,0.7,3.5,68767.74,0,repaid
122,  SAMUEL ANDERSSON,"7757 Harbor Ln, Riverside, AZ 21300",,820,0.71,29.6,40027.73,0,repaid
387,James Novak,"4246 Maple Dr, Greenville, MA 81237",166032.35,616,0.26,28.8,71984.81,0,repaid
439,James Patel,"1560 Meadow Ct, Arlington, IL 64555",$178210.46,402 ,0.34,19.0,70490.53,0,repaid
324,fatima chen,"1206 Pine Ct, Georgetown, WA 51383",171494.66,549,0.41,28.8,47359.29,0,repaid
52,Grace Novak,"9866 Harbor Ln, Georgetown, OR 59856",$50345.40,354,0.85,24.3,20607.09,0,repaid
386,Alex Patel,"2469 Cedar Way, Springfield, GA 50378",95735.73,463,0.69,11.4,45673.83,1,repaid
95,Alex Müller,"1784 Cedar Blvd, Georgetown, TX 88957",35275.88,472,0.48,200.0,62322.03,0,repaid
431,Ava Kim,,100782.55,746,0.73,21.8,18841.9,0,repaid
369,Hana Johnson,"4813 Maple Blvd, Fairview, IL 68990",157071.85,504,0.66,4.7,59426.95,0,defaulted
380,Omar Novak,"8127 Meadow Blvd, Greenville, WA 66040",64510.84,722,0.18,20.1,14989.18,0,repaid
358,Samuel Andersson,"7615 Meadow Ct, Franklin, NY 31864",134005.53,554,0.5,28.4,59942.56,0,repaid
34,Grace Müller,"2981 Harbor Ct, Salem, MA 16582",68796.89,910,0.0,19.7,61833.65,0,repaid
251,Aisha Chen,"7043 Pine Way, Madison, MA 43029",114819.44,309,0.16,4.0,18677.83,0,repaid
176,Ava Novak,"3303 Willow St, Riverside, IL 10887",53441.48,364,0.27,8.3,29528.87,0,repaid
80,Alex Johnson,"8950 Highland Way, Riverside, NY 96646",182610.6,521,0.7,7.0,48082.55,0,repaid
207,Grace Tanaka,"6690 Oak Ct, Salem, OR 90746",27965.37,520,0.71,1.8,50657.08,0,repaid
480,fatima brown,"4746 Willow Ln, Clinton, MA 39605",47182.47,832,,22.9,4208.08,0,repaid
443,Fatima Smith,"3955 Meadow Dr, Arlington, AZ 52725",28663.5,764,0.83,22.2,63053.87,0,repaid
460,Emma Kowalski,"8945 Cedar Ln, Clinton, NY 13266",72081.44,751,0.51,5.5,26038.56,0,repaid
126,Hana Novak,"5631 Ridge Ln, Springfield, CA 20646",142885.66,610,0.58,2.8,46871.07,0,defaulted
471,Diego Okafor,"4547 Birch Ct, Madison, NY 80047",122773.3,378,0.16,23.0,60457.65,0,repaid
382,Maria Lopez,"6447 Lakeview Way, Springfield, WA 48165",$111380.08,762,0.79,26.3,43491.66,0,repaid
325,Diego Smith,"9185 Cedar Dr, Madison, CO 38647",211089.14,722,0.01,15.5,20612.35,0,repaid
492,  HANA OKAFOR,"6052 Pine Ave, Greenville, NY 80232",40011.34,800,0.3,20.3,61427.41,0,repaid
193,Sofia Rossi,"9732 Meadow Blvd, Arlington, GA 31755",109946.47,333,0.74,10.5,79522.66,0,repaid
257,Hana Smith,"7836 Sunset Ln, Fairview, GA 79446",72111.85,680,0.77,8.8,69445.08,0,repaid
346,Ava Patel,"3248 Ridge Blvd, Franklin, CA 25985",86049.73,332 ,0.86,25.3,62276.58,0,defaulted
104,Hana Patel,"7270 Maple Dr, Madison, WA 68222",195278.55,644,0.54,18.5,15286.83,0,repaid
200,Grace Smith,"1659 Maple Ave, Greenville, NY 27393",,680,0.05,19.5,58353.08,0,repaid
100,Maria Silva,"1179 River St, Salem, GA 47243",141961.08,835,0.83,10.9,62182.72,0,repaid
271,Ava Martin,"1950 Pine Dr, Springfield, NY 44290",175832.86,688,0.78,18.3,58455.01,1,repaid
54,Aisha Okafor,"7538 Oak Ct, Georgetown, IL 91927",130398.45,477,0.37,4.7,38123.09,0,defaulted
219,Aisha Kowalski,"4441 Ridge St, Fairview, TX 99922",52875.0,408 ,0.37,14.0,77206.14,0,repaid
400,Alex Rossi,"698 Willow Dr, Salem, NY 10538",82071.74,836,0.69,9.8,78599.6,0,repaid
264,Nina Chen,"7872 Meadow Ave, Georgetown, CA 49467",152393.98,349,0.02,19.6,33925.27,0,repaid
248,Omar Garcia,"6004 Meadow Ave, Clinton, CO 70846",195866.52,836,0.17,0.9,67121.16,0,repaid
420,Samuel Johnson,"7417 River Way, Riverside, IL 40958",70410.19,584,0.25,18.5,59572.9,0,repaid
